1556 IATA
642 IDRO
807 ILLA
2479 IMAIRO
2579 IMANR
2561 IMAQU
2594 IMBAJA
2340 IMBIG
2125 IMCAR
2135 IMCARA
1948 IMCAS
2301 IMCAST
2335 IMCERV
1949 IMCIM
2122 IMCIMA
2559 IMCIPR
2373 IMCIV
2314 IMCOLL
2318 IMCON
2322 IMCOS
2325 IMDIA
2560 IMDIAN
2326 IMDOL
2358 IMIMP
2550 IMIMPE
2313 IMLOV
1962 IMMONT
2317 IMMONTE
2563 IMNAV
2586 IMNAVA
2134 IMNSD
2123 IMOLI
2359 IMONT
2386 IMPAS
662 IMPD
2555 IMPER
2383 IMPIA
2442 IMPIAN
2316 IMPON
2564 IMPOR
2415 IMPRE
2299 IMSAN
2323 IMSANB
2441 IMSAND
2341 IMSANG
2130 IMSAS
2320 IMSEB
2121 IMSUS
2315 IMTORR
2554 IMVALL
225 INCI
666 INTR
452 INVI
512 ISOR
811 ISRI
947 ISSM
1069 KLAUS
1092 LACA
147 LACC
1075 LACI
455 LAGH
50 LAGO
1572 LAIN
121 LAMO
971 LANZ
191 LAPI
1433 LARA
196 LARO
1132 LASA
1699 LAT
783 LATHUI
1345 LAUZ
539 LAVRA
1424 LBASS
4455 LCCCOA
4141 LCCUL
4142 LCMOR
2609 LCPAG
4706 LCPAS
2610 LCPRE
4452 LCUCCO
4109 LCZUC
249 LECO
790 LEGGI
112 LEGN
979 LENDI
287 LENN
1355 LESTIZ
1269 LEVO
1422 LGUS
1093 LIMI
1203 LIPI
1204 LISA
678 LISCT
101 LISS
903 LIVE
1625 LIVO
929 LIZ
435 LOCA
2288 LOCOR
290 LODRI
4394 LOLOD
814 LOMB
47 LONA
423 LONG
914 LONI
552 LONPO
1458 LOREO
4728 LOSANM
600 LRTN
1665 LTNA
27 LUSE
156 LUSS
388 LUZZ
269 MACL
48 MADD
114 MADE
1624 MADR
846 MADS
655 MAGG
76 MAGN
527 MAGNA
335 MAGR
292 MALA
201 MALC
1045 MALO
100 MANE
1247 MANI
1187 MANO
102 MANT
10 MAR
976 MARDI
62 MARE
195 MARG
765 MARGA
289 MARM
632 MARN
849 MARP
563 MARS
716 MART
169 MASS
330 MATA
881 MATI
583 MAUCA
626 MAVA
2357 MBLIS
342 MBRC
844 MCA
1192 MCAL
367 MCAP
2015 MCCAL
2165 MCCOL
2012 MCCOS
2158 MCFON
2164 MCLAC
2013 MCLAN
2159 MCMAC
2160 MCMACE
2014 MCMON
2016 MCMONT
2049 MCONT
5042 MCONTEA
2191 MCONTED
185 MCOR
2045 MCPIA
2503 MCPIO
2022 MCPOG
1434 MCRO
954 MCRV
2163 MCSANT
2034 MCSAR
2033 MCSFO
2471 MCSPA
309 MCUC
2032 MCURB
2587 MCVAL
4997 MCVIL
241 MCZZ
200 MDGA
226 MDGN
446 MDON
432 MDRO
1002 MEDE
1117 MEDU
1459 MELA
375 MERA
1399 MERCV
1089 METO
479 MFSC
57 MGOY
1226 MICE
494 MICH
1946 MICOL
366 MINE
974 MISLV
973 MISTPH
110 MITE
1166 MLPT
680 MMBRT
1256 MMBS
498 MMRNZ
285 MMSM
4252 MNBOZ
4254 MNCAST
4261 MNCAVR
4267 MNCER
1234 MNCR
1194 MNGO
4313 MNNTO
4322 MNOST
4331 MNPOG
4337 MNSAN
243 MNTS
2367 MNVIA
1470 MOBE
313 MOBO
1230 MOBRU
215 MOCA
3751 MOCAG
3720 MOCAI
673 MOCHI
565 MOCI
85 MOCO
332 MOCR
1175 MODE
4014 MOFAN
760 MOFIA
3375 MOFRA
321 MOGG
1232 MOGH
1182 MOGI
3632 MOIOLA
3561 MOIOLU
2926 MOLAT
525 MOLI
1095 MOLO
447 MOLV
219 MOLZ
125 MOMA
2854 MOMAD
60 MOME
236 MOMI
629 MOMO
2963 MOMONF
3660 MOMONZ
160 MOMP
883 MONA
261 MONE
439 MONE2
440 MONF
1687 MONI
157 MONL
328 MONN
1143 MONO
3577 MONTE
3592 MONTES
4157 MONTESA
4015 MONTESE
1400 MONTL
1487 MONV
3312 MOONT
3747 MOONTEB
3935 MOONTEC
3322 MOOSPI
264 MOOV
92 MOPA
390 MOPA2
86 MOPE
370 MOPI
3379 MOPIA
3381 MOPONTE
3567 MOPRI
4013 MOPRIG
72 MOQU
1012 MORB
302 MORE
106 MORF
153 MORO
3378 MOROV
619 MORR
1077 MOSA
3015 MOSAMON
2969 MOSAN
468 MOSM
1189 MOSU
45 MOT
32 MOTT
957 MOV
3934 MOVAGL
1494 MOVC
1471 MOZA
1184 MOZU
212 MQBS
193 MRAG
213 MRIO
477 MRLSS
259 MROS
1710 MROT
413 MRTR
1314 MSCH
411 MSL2
189 MSLO
1260 MSPI
4666 MSSAN
2376 MSTOM
1596 MTCA
1221 MTCL
572 MTCR
661 MTGR
453 MUSGL
456 MUTA
56 NAGG
1371 NAGGI
61 NARR
1059 NATU
338 NEIV
803 NES
1509 NETI
948 NIEL
